Feature,KS,is_rosetta,P-value
score_per_res,0.6485955254152342,True,0.0
total_score,0.6098168349008215,True,0.0
sum_best_frags,0.5370128192076681,True,0.0
worst6frags,0.5138646348052843,True,0.0
avg_best_frag,0.4905128466158701,True,0.0
worstfrag,0.490113469956695,True,0.0
n_hydrophobic_noA,0.4805440919662644,True,0.0
largest_hphob_cluster,0.4597921675189312,True,0.0
hphob_sc_contacts,0.4456299579479871,True,0.0
hxl_tors,0.44259156297230207,True,0.0
avg_all_frags,0.42028128646269747,True,0.0
