Feature,KS,is_rosetta,topology,P-value
AlaCount,0.23435588187122455,True,EEHEE,5.819232429650957e-25
exposed_np_AFILMVWY,0.2340770251621175,True,HHH,3.219646771412954e-15
holes,0.2323334131253701,True,EEHEE,1.5364833148233886e-24
E_range_entropy,0.23197175510119383,False,EEHEE,1.826183062983322e-24
buried_minus_exposed,0.23176453860372528,True,HEEH,7.04373058069141e-06
SumL_entropies,0.23168876086792567,False,HHH,3.219646771412954e-15
lk_ball_bridge,0.2313792436456018,True,EEHEE,2.422103453073844e-24
sum_best_frags,0.23119059936833386,True,HHH,3.219646771412954e-15
Tend_netq,0.2308357216871033,True,EHEE,1.3547976076186057e-25
hbond_bb_sc,0.22903780726782969,True,EHEE,3.329802563849483e-25
avg_best_frag,0.22762871156779957,True,HHH,3.219646771412954e-15
frac_sheet,0.22465419403432846,True,EHEE,2.8962108882337907e-24
nres_sheet,0.22465419403432846,True,EHEE,2.8962108882337907e-24
lk_ball_bridge_uncpl,0.22306592625585378,True,EEHEE,1.1801933136353202e-22
contig_not_hp_max,0.2212604975861137,True,EHEE,1.5018787145965087e-23
ss_contributes_core,0.22078221887573268,True,EEHEE,3.347939098297493e-22
net_atr_per_res,0.22024740509028864,True,HEEH,2.392537414419582e-05
hbond_sc,0.21959237343852728,True,EHEE,3.341940708170892e-23
contig_not_hp_internal_max,0.21846575132609486,True,EHEE,5.71630022920414e-23
tryp_cut_sites,0.21739870507607625,True,EHEE,9.479784520227591e-23
AlaCount,0.21456831968407772,True,EHEE,3.583500741665088e-22
frac_loop,0.21431299455944713,True,EHEE,4.0367480117200797e-22
nres_loop,0.21431299455944713,True,EHEE,4.0367480117200797e-22
bb,0.21404003880412734,True,EEHEE,6.830668359067094e-21
buried_np_AFILMVWY_per_res,0.21320125756354963,True,HEEH,4.896775345131221e-05
buried_np_AFILMVWY,0.21320125756354963,True,HEEH,4.896775345131221e-05
fa_intra_atr_xover4,0.2127162834638168,True,HHH,3.219646771412954e-15
hphob_sc_contacts,0.2103891179676762,True,HEEH,6.473356809155728e-05
Tminus1_netq,0.20914266078567798,True,EHEE,4.367118326487415e-21
nearest_tryp_cut_to_Cterm,0.20695377976931376,True,EHEE,1.1759889530091051e-20
E_min_entropy,0.2067283214546953,False,EEHEE,1.6176208667517194e-19
fa_intra_rep_xover4,0.20640890627350683,True,EEHEE,1.8528044928807955e-19
exposed_polars,0.2048766034949754,True,EHEE,2.981749405100706e-20
H_max_entropy,0.20484468785439658,False,EHEE,3.0244597952002e-20
T1_netq,0.20432233520358986,True,EHEE,3.815949610657039e-20
H_max_entropy,0.20391435522970103,False,EEHEE,5.310072062327448e-19
fa_atr,0.20384891986833734,True,EHEE,4.708436171786168e-20
fa_atr_per_res,0.20384891986833734,True,EHEE,4.708436171786168e-20
n_polar_core,0.20350658062740562,True,HHH,3.219646771412954e-15
nres_helix,0.20158556902395589,True,EHEE,1.2773881096650777e-19
frac_helix,0.20158556902395589,True,EHEE,1.2773881096650777e-19
H_range_entropy,0.20027018480270026,False,HHH,3.219646771412954e-15
SumE_entropies,0.19935094225609534,False,EHEE,3.38470239501616e-19
hbond_lr_bb,0.19819453221245603,True,EHEE,5.580475585415759e-19
bb,0.19671524227162762,True,EHEE,1.0534420880761964e-18
Tminus1_netq,0.19645557762255897,True,HHH,3.219646771412954e-15
nearest_tryp_cut_to_Nterm,0.1954242546102143,True,EHEE,1.8269885908786335e-18
mismatch_probability,0.19367963386122133,True,HHH,3.219646771412954e-15
L_range_entropy,0.19361144622533719,False,EHEE,3.9342172486349585e-18
L_min_entropy,0.19326090610631314,False,EHEE,4.559482473455159e-18
exposed_np_AFILMVWY,0.1930423242807716,True,HEEH,0.00033281971248810827
n_hydrophobic_noA,0.19100431300061615,True,HEEH,0.0003996000275152678
Mean_E_entropy,0.18997891440012427,False,EHEE,1.7907329594879725e-17
lk_ball,0.18992863923945097,True,EEHEE,1.5339942533640117e-16
H_min_entropy,0.18981454885114332,False,EHEE,1.9165368266481452e-17
